a,X.nit.en_vm_canal1.en_vm_canal2.en_vm_canal3.en_vm_canal4.en_vm_canal5.en_vm_canal6.en_vm_canal7.en_vm_canal8.en_vm_canal9.en_vm_canal10.en_vm_otros.en_tx_canal1.en_tx_canal2.en_tx_canal3.en_tx_canal4.en_tx_canal5.en_tx_canal6.en_tx_canal7.en_tx_canal8.en_tx_canal9.en_tx_canal10.en_tx_otros.sal_vm_canal5.sal_vm_canal2.sal_vm_canal8.sal_vm_otros.sal_tx_canal5.sal_tx_canal2.sal_tx_canal8.sal_tx_otros.impo_cv.expo_vt.cxp.cxc.totalinventory.pagos_pj.pagos_pn.tiene_ventas_fisicas.tiene_ventas_electronicas.recaudos_pj.recaudos_pn.rotacion_inventarios.rotacion_cxc.rotacion_cxp.ciclo_negocio.ciclo_financiero
16,16,C4476832459320426009,16328786.25,301810069.6,570758.67,0,18820576.59,0,0,0,132100,0,0,4.25,1.508.333.333,1,0,5.416.666.667,0,0,0,1,0,0,18820576.59,205882586.8,775000,12700000,5.416.666.667,8.866.666.667,1,22.5,2,2,1,2,2,0.709,0.291,0,0,0,0,3,3,1,4,5
17,17,C8497084211255542375,725985979,198904737.8,2095050,7776259.25,0,66321404.33,0,1001086.17,2078248.86,0,0,334.75,103.5,3,75.75,0,35,0,1.333.333.333,2.571.428.571,0,0,0,0,655796,0,0,0,1,0,2,2,4,3,3,1,0,1,0,0,0,5,3,4,5,3
18,18,C3146061519075383431,139004747.1,511972973.5,6543536.67,0,131595000,23781330.25,0,2147530.67,3050469.4,0,729333.33,44.75,4.333.333.333,8.083.333.333,0,10,7.583.333.333,0,1.666.666.667,2.2,0,1.666.666.667,131595000,380759975.7,0,0,10,9.516.666.667,0,0,2,2,4,4,2,0.465,0.535,1,0,0,0,2,4,4,5,3
19,19,C-3209920532852039283,1447447534,26904669,1401455,0,0,35296928.58,0,2688017.57,0,0,0,448.25,3.666.666.667,3,0,0,1.741.666.667,0,1.857.142.857,0,0,0,0,1171304621,0,0,0,5.825.833.333,0,0,1,1,3,3,2,0.195,0.805,0,0,0,0,2,2,2,3,2
20,20,C9009556847754152873,263251688.8,654600514.2,1360288.4,0,75509281.83,5078750,0,0,0,0,0,7.083.333.333,5.166.666.667,1.8,0,1,2,0,0,0,0,0,75509281.83,643750379,0,0,1,1.955.833.333,0,0,1,1,1,2,4,0.355,0.645,0,0,0,0,6,3,2,6,6
21,21,C-7893310572138042309,86317318.75,73135275,0,0,0,0,0,0,0,0,0,2.75,1.25,0,0,0,0,0,0,0,0,0,0,89122050,0,0,0,22.25,0,0,1,1,2,1,2,0.338,0.662,0,0,0,0,3,1,4,3,1
22,22,C2259359539244597893,32522015.41,1133702588,0,0,0,1102000,0,0,0,0,0,3.083.333.333,74.75,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,3,2,0.962,0.038,0,0,0,0,3,3,2,4,4
23,23,C610881603993634736,547670087.6,780003007,103800,0,164250000,8628001.17,0,1444292.7,5310910.75,0,0,1.533.333.333,3.283.333.333,1,0,3.25,7.333.333.333,0,1.4,3,0,0,164250000,338676698.5,0,0,3.25,1.618.333.333,0,0,4,3,2,2,2,0.545,0.455,0,0,0,0,3,2,1,4,5
24,24,C5664836048857676643,5743898620,65686381764,38339042,44944,0,23600000,0,187892667.3,220000,0,8736245084,119.25,3.126.666.667,4.466.666.667,2.2,0,8,0,3.977.166.667,1,0,76783,0,0,0,0,0,0,0,0,2,2,6,6,3,0.767,0.233,1,0,0.05,0.95,1,2,2,2,2
25,25,C8717131793081711131,77661296.25,439904248,4352282.29,0,176475000,20000000,0,0,7490974.37,0,0,3.733.333.333,3.583.333.333,7.142.857.143,0,5.75,2,0,0,5.125,0,0,176475000,243933695.8,0,0,5.75,1.400.833.333,0,0,1,1,1,2,1,0.088,0.912,1,0,0,0,2,4,3,5,5
26,26,C-6368255339103221282,287619706,1484972459,13135922.5,4839874.58,16724079,3875813.58,0,3171344,4670711.56,0,482263,1157.5,754.75,112.75,4.833.333.333,3,16.5,0,8.083.333.333,2.622.222.222,0,4,39400000,1472831082,0,0,1.2,4.798.333.333,0,0,2,2,2,3,2,0.28,0.72,1,0,0.152,0.848,2,4,4,5,2
27,27,C2940018857410318500,591930684.8,4535335486,5410550.92,0,1041267207,3379816.17,0,26085783.33,2913706.2,0,16217009.25,1.614.166.667,3.686.666.667,2.108.333.333,0,9.333.333.333,1.558.333.333,0,15.25,2.7,0,11.75,1041260833,4324417738,0,0,9.25,6.917.333.333,0,0,2,2,1,3,1,0.046,0.954,1,0,0.421,0.579,1,2,1,2,3
28,28,C-8156636940448645328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,6,6,0.204,0.796,0,0,0,0,6,3,1,6,6
29,29,C1809288717810707642,4214600209,14652219803,0,0,0,35419087,0,1244861.14,22856725,0,0,180.5,208.25,0,0,0,6.75,0,1.285.714.286,6.125,0,0,0,4969060033,0,0,0,743.25,0,0,3,3,6,6,6,0.556,0.444,0,0,0,0,2,2,2,3,3
30,30,C1400054710210469427,747676521.1,35305892.58,338989701.9,0,53610000,26181398.17,0,4145287.5,2161787.5,0,0,2.180.833.333,1.041.666.667,4.534.166.667,0,3,9.583.333.333,0,1.5,1.375,0,0,53610000,943594268.7,0,0,3,3.590.833.333,0,0,1,1,2,2,2,0.338,0.663,0,0,0,0,2,1,2,2,2
31,31,C4747593607709050596,3092000,6084204,0,0,0,1822300,0,0,0,0,0,2,2.5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,2,0.806,0.194,0,0,0,0,3,4,2,5,5
32,32,C2486254357555891154,483638884.1,5747664945,1922928.67,0,489273200.9,2280598.17,0,5633279.63,0,0,0,14.75,37,3.333.333.333,0,5.818.181.818,2.083.333.333,0,3.75,0,0,0,489273200.9,4255561086,0,0,5.818.181.818,2.020.666.667,0,0,1,1,4,6,5,0.242,0.758,0,0,0,0,2,4,1,5,5
33,33,C4984083683935126352,133163928.6,8608105509,1102620,0,512664313.5,1038673.5,0,5000000,0,0,0,1.366.666.667,6.858.333.333,1,0,1.75,1.166.666.667,0,1,0,0,0,195739462.2,4685163320,0,0,7.083.333.333,9.973.333.333,0,0,2,2,3,5,3,0.172,0.828,1,0,0,0,2,2,2,3,3
34,34,C3602034185194213476,3811466929,3814247519,5454174,22333177.08,21311880.67,399698923.3,0,49602499.92,80879561.1,3591986.83,0,1509.25,808.5,6,8.666.666.667,11.25,2.501.666.667,0,34.25,8.644.444.444,1.333.333.333,0,21311880.67,922685814,20690,0,11.25,1.576.666.667,1,0,4,2,3,6,6,0.672,0.328,1,0,0,0,6,4,2,6,6
35,35,C-3002200786633618012,206517720.5,28414499701,1220806313,98341346.83,0,0,0,0,2828233.33,0,0,6.698.333.333,56,4.939.416.667,9.343.333.333,0,0,0,0,1.188.888.889,0,0,0,8828251946,0,0,0,3.018.333.333,0,0,3,2,6,6,6,0.814,0.186,1,0,0,0,5,1,3,4,3
